date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:44	123/123	---MCZ	200	added ('OK')	text/plain	etag:W/%22664f6f7a-7a%22	https://getbootstrap.com/robots.txt		(from )
19:29:45	26053/26053	---M-Z	200	added ('OK')	text/html	etag:W/%22664f6f7a-65c5%22	https://getbootstrap.com/docs/5.3/examples/dashboard/	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/examples/dashboard/index.html	(from )
19:29:45	2596/2596	---M-Z	200	added ('OK')	application/javascript	etag:W/%22664f6f7a-a24%22	https://getbootstrap.com/docs/5.3/assets/js/color-modes.js	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/assets/js/color-modes.js	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:47	14201/14201	---MCZ	200	added ('OK')	text/css	etag:W/%223779-p3AHUShgz5c2clsf4G7TpZSUQVs%22	https://cdn.jsdelivr.net/npm/@docsearch/css@3	/home/ninte/websites/dashboard/cdn.jsdelivr.net/npm/@docsearch/css@3.css	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:47	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%22664f6f7a-38d63%22	https://getbootstrap.com/docs/5.3/dist/css/bootstrap.min.css	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/dist/css/bootstrap.min.css	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:48	7488/7488	---M--	200	added ('OK')	image/png	etag:%22664f6f7a-1d40%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/apple-touch-icon.png	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/assets/img/favicons/apple-touch-icon.png	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:49	1152/1152	---M--	200	added ('OK')	image/png	etag:%22664f6f7a-480%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/favicon-32x32.png	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/assets/img/favicons/favicon-32x32.png	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:50	525/525	---M--	200	added ('OK')	image/png	etag:%22664f6f7a-20d%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/favicon-16x16.png	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/assets/img/favicons/favicon-16x16.png	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:51	412/412	---M-Z	200	added ('OK')	application/json	etag:W/%22664f6f7a-19c%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/manifest.json	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/assets/img/favicons/manifest.json	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:52	1025/1025	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22664f6f7a-401%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/safari-pinned-tab.svg	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/assets/img/favicons/safari-pinned-tab.svg	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:53	15086/15086	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22664f6f7a-3aee%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/favicon.ico	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/assets/img/favicons/favicon.ico	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:55	81936/81936	---MCZ	200	added ('OK')	text/css	etag:W/%2214010-2VnjVScKKvMGOszIeAq9cT10ZOg%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.min.css	/home/ninte/websites/dashboard/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.5/font/bootstrap-icons.min.css	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:55	639/639	---M-Z	200	added ('OK')	text/css	etag:W/%22664f6f7a-27f%22	https://getbootstrap.com/docs/5.3/examples/dashboard/dashboard.css	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/examples/dashboard/dashboard.css	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:57	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%22664f6f7a-13b51%22	https://getbootstrap.com/docs/5.3/dist/js/bootstrap.bundle.min.js	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/dist/js/bootstrap.bundle.min.js	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:58	204922/204922	---MCZ	200	added ('OK')	application/javascript	etag:W/%223207a-nnUqH0k+7UkAKSPIFXQiB9FkaZ4%22	https://cdn.jsdelivr.net/npm/chart.js@4.3.2/dist/chart.umd.js	/home/ninte/websites/dashboard/cdn.jsdelivr.net/npm/chart.js@4.3.2/dist/chart.umd.js	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:29:58	884/884	---M-Z	200	added ('OK')	application/javascript	etag:W/%22664f6f7a-374%22	https://getbootstrap.com/docs/5.3/examples/dashboard/dashboard.js	/home/ninte/websites/dashboard/getbootstrap.com/docs/5.3/examples/dashboard/dashboard.js	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:30:00	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
19:30:00	193/193	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Wed,%2019%20Feb%202025%2018:30:00%20GMT	https://cdn.jsdelivr.net/npm/chart.js@4.3.2/dist/chart.umd.js	/home/ninte/websites/dashboard/cdn.jsdelivr.net/npm/chart.js@4.3.2/dist/chart.umd.js	(from https://getbootstrap.com/docs/5.3/examples/dashboard/)
