date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:37	123/123	---MCZ	200	added ('OK')	text/plain	etag:W/%22664f6f7a-7a%22	https://getbootstrap.com/robots.txt		(from )
19:30:38	17031/17031	---M-Z	200	added ('OK')	text/html	etag:W/%22664f6f7a-4287%22	https://getbootstrap.com/docs/5.3/examples/pricing/	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/examples/pricing/index.html	(from )
19:30:38	2596/2596	---M-Z	200	added ('OK')	application/javascript	etag:W/%22664f6f7a-a24%22	https://getbootstrap.com/docs/5.3/assets/js/color-modes.js	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/assets/js/color-modes.js	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:40	14201/14201	---MCZ	200	added ('OK')	text/css	etag:W/%223779-p3AHUShgz5c2clsf4G7TpZSUQVs%22	https://cdn.jsdelivr.net/npm/@docsearch/css@3	/home/ninte/websites/pricing/cdn.jsdelivr.net/npm/@docsearch/css@3.css	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:41	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%22664f6f7a-38d63%22	https://getbootstrap.com/docs/5.3/dist/css/bootstrap.min.css	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/dist/css/bootstrap.min.css	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:41	7488/7488	---M--	200	added ('OK')	image/png	etag:%22664f6f7a-1d40%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/apple-touch-icon.png	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/assets/img/favicons/apple-touch-icon.png	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:42	1152/1152	---M--	200	added ('OK')	image/png	etag:%22664f6f7a-480%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/favicon-32x32.png	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/assets/img/favicons/favicon-32x32.png	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:43	525/525	---M--	200	added ('OK')	image/png	etag:%22664f6f7a-20d%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/favicon-16x16.png	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/assets/img/favicons/favicon-16x16.png	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:44	412/412	---M-Z	200	added ('OK')	application/json	etag:W/%22664f6f7a-19c%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/manifest.json	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/assets/img/favicons/manifest.json	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:45	1025/1025	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22664f6f7a-401%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/safari-pinned-tab.svg	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/assets/img/favicons/safari-pinned-tab.svg	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:46	15086/15086	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22664f6f7a-3aee%22	https://getbootstrap.com/docs/5.3/assets/img/favicons/favicon.ico	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/assets/img/favicons/favicon.ico	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:48	199/199	---MCZ	200	added ('OK')	text/css	etag:W/%22664f6f7a-c7%22	https://getbootstrap.com/docs/5.3/examples/pricing/pricing.css	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/examples/pricing/pricing.css	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:48	2047/2047	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22664f6f7a-7ff%22	https://getbootstrap.com/docs/5.3/assets/brand/bootstrap-logo.svg	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/assets/brand/bootstrap-logo.svg	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:50	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%22664f6f7a-13b51%22	https://getbootstrap.com/docs/5.3/dist/js/bootstrap.bundle.min.js	/home/ninte/websites/pricing/getbootstrap.com/docs/5.3/dist/js/bootstrap.bundle.min.js	(from https://getbootstrap.com/docs/5.3/examples/pricing/)
19:30:51	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://getbootstrap.com/docs/5.3/examples/pricing/)
